PathID	ReceptorRound	LigandRound	SBGN-Inhibition	ReceptorSquare	LigandSquare	Receptor	mim-covalent-bond	mim-gap	mim-translocation	SBGN-Production	mim-branching-left	mim-branching-right	SBGN-Catalysis	mim-cleavage	mim-necessary-stimulation	mim-modification	TBar	mim-transcription-translation	mim-binding	mim-inhibition	mim-stimulation	mim-catalysis	mim-conversion	Arrow
WP4352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP4803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP3594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP5322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	34	0	6	0	0	18	48
WP4523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	38	31	10
WP4018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	2	30
WP5205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	45	0	2	1	69
WP2826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	25	0
WP1604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3	10
WP5117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	15	16	5
WP2536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2
WP2636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	44
WP5148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	12	0	2	1
WP545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	11
WP558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1	0	0	49
WP5090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	22	48	17	22	18
WP2806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	452	0	0	43	17	6
WP5101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	7	7	3	10
WP2875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1
WP4484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11
WP4818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0
WP3286	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	17
WP5189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7
WP1946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	25	16	20
WP2355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	28	0	5	0	0	1	129
WP4927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	6	0	4	7	5
